,ind,name,ul_la,ul_lo,ur_la,ur_lo,ll_la,ll_lo,lr_la,lr_lo,width,height,region
0,0,M193468126RC,8.66,-77.83999999999997,8.67,-78.04000000000002,10.79,-77.76999999999998,10.8,-77.98000000000002,5064,52224,1
1,1,M193468126LC,8.66,-77.63999999999999,8.67,-77.85000000000002,10.79,-77.57,10.8,-77.77999999999997,5064,52224,1
2,2,M193467952RC,-0.07,-78.12,-0.06,-78.31,1.52,-78.07,1.52,-78.25999999999999,5064,41984,1
3,3,M193467952LC,-0.07,-77.94999999999999,-0.06,-78.13,1.52,-77.88999999999999,1.52,-78.07999999999998,5064,41984,1
4,4,M193460988RC,9.07,-76.74000000000001,9.08,-76.94999999999999,11.22,-76.67000000000002,11.23,-76.88,5064,52224,1
5,5,M193460988LC,9.07,-76.54000000000002,9.08,-76.75,11.22,-76.47000000000003,11.23,-76.68,5064,52224,1
6,6,M193460868RC,3.09,-76.93,3.1,-77.12,4.17,-76.89999999999998,4.17,-77.08999999999997,5064,27648,1
7,7,M193460868LC,3.09,-76.75,3.1,-76.94,4.17,-76.70999999999998,4.17,-76.91000000000003,5064,27648,1
8,8,M193453786RC,6.31,-75.74000000000001,6.31,-75.94,7.04,-75.72000000000003,7.05,-75.92000000000002,5064,18432,1
9,9,M193453786LC,6.3,-75.55000000000001,6.31,-75.75,7.04,-75.51999999999998,7.05,-75.73000000000002,5064,18432,1
10,10,M193446518RC,0.24,-74.83999999999997,0.24,-75.02999999999997,5.18,-74.69,5.18,-74.88,5064,52224,1
11,11,M193446518LC,0.23,-74.66000000000003,0.24,-74.85000000000002,5.17,-74.5,5.18,-74.69,5064,52224,1
12,12,M193439394RC,1.33,-73.70999999999998,1.34,-73.89999999999998,6.26,-73.56,6.27,-73.75999999999999,5064,52224,1
13,13,M193439394LC,1.33,-73.52999999999997,1.34,-73.72000000000003,6.26,-73.36000000000001,6.27,-73.56,5064,52224,1
14,14,M193432260RC,1.91,-72.60000000000002,1.91,-72.79000000000002,3.65,-72.54000000000002,3.65,-72.73000000000002,5064,45056,1
15,15,M193432260LC,1.91,-72.41000000000003,1.91,-72.60000000000002,3.64,-72.36000000000001,3.65,-72.55000000000001,5064,45056,1
16,16,M193425083RC,0.38,-71.55000000000001,0.38,-71.73000000000002,2.35,-71.48000000000002,2.36,-71.67000000000002,5064,52224,1
17,17,M193425083LC,0.37,-71.37,0.38,-71.55000000000001,2.35,-71.30000000000001,2.35,-71.49000000000001,5064,52224,1
18,18,M193417937RC,0.41,-70.44,0.41,-70.63,2.38,-70.38,2.38,-70.57,5064,52224,1
19,19,M193417937LC,0.4,-70.26999999999998,0.41,-70.44999999999999,2.38,-70.19999999999999,2.38,-70.38999999999999,5064,52224,1
20,20,M193410790RC,0.38,-69.33999999999997,0.39,-69.52999999999997,2.36,-69.27999999999997,2.36,-69.47000000000003,5064,52224,1
21,21,M193410790LC,0.38,-69.17000000000002,0.39,-69.35000000000002,2.36,-69.10000000000002,2.36,-69.29000000000002,5064,52224,1
22,22,M192285253RC,1.99,-77.12,2.0,-76.94999999999999,1.96,-77.12,1.97,-76.94,5064,1024,1
23,23,M192285253LC,1.98,-77.30000000000001,1.98,-77.12,1.95,-77.30000000000001,1.96,-77.12,5064,1024,1
24,24,M192285239RC,2.68,-77.14999999999998,2.69,-76.97000000000003,2.66,-77.14999999999998,2.66,-76.95999999999998,5064,1024,1
25,25,M192285239LC,2.67,-77.32,2.67,-77.13999999999999,2.65,-77.32,2.65,-77.13999999999999,5064,1024,1
26,26,M192285207RC,4.02,-77.19,4.03,-77.0,3.71,-77.18,3.71,-76.99000000000001,5064,1024,1
27,27,M192285207LC,4.01,-77.37,4.02,-77.18,3.69,-77.36000000000001,3.7,-77.17000000000002,5064,1024,1
28,28,M192285183RC,5.36,-77.23000000000002,5.37,-77.04000000000002,5.19,-77.22000000000003,5.19,-77.04000000000002,5064,1024,1
29,29,M192285183LC,5.35,-77.41000000000003,5.36,-77.22000000000003,5.18,-77.41000000000003,5.18,-77.22000000000003,5064,1024,1
30,30,M192285162RC,6.48,-77.25999999999999,6.49,-77.07,6.34,-77.25999999999999,6.35,-77.07,5064,1024,1
31,31,M192285162LC,6.47,-77.44999999999999,6.48,-77.25999999999999,6.33,-77.44,6.34,-77.25,5064,1024,1
32,32,M192285145RC,7.38,-77.29000000000002,7.39,-77.10000000000002,7.32,-77.29000000000002,7.32,-77.10000000000002,5064,1024,1
33,33,M192285145LC,7.37,-77.48000000000002,7.37,-77.29000000000002,7.31,-77.48000000000002,7.31,-77.27999999999997,5064,1024,1
34,34,M192285131RC,8.13,-77.32,8.14,-77.12,8.1,-77.32,8.11,-77.12,5064,1024,1
35,35,M192285131LC,8.12,-77.5,8.13,-77.31,8.09,-77.5,8.09,-77.31,5064,1024,1
36,36,M192285117RC,8.81,-77.33999999999997,8.82,-77.13999999999999,8.8,-77.33999999999997,8.8,-77.13999999999999,5064,1024,1
37,37,M192285117LC,8.8,-77.52999999999997,8.81,-77.32999999999998,8.79,-77.52999999999997,8.79,-77.32999999999998,5064,1024,1
38,38,M192285103RC,9.52,-77.36000000000001,9.53,-77.16000000000003,9.49,-77.36000000000001,9.49,-77.16000000000003,5064,1024,1
39,39,M192285103LC,9.51,-77.55000000000001,9.52,-77.35000000000002,9.48,-77.55000000000001,9.48,-77.35000000000002,5064,1024,1
40,40,M192285090RC,10.2,-77.38,10.21,-77.18,10.19,-77.38,10.19,-77.18,5064,1024,1
41,41,M192285090LC,10.19,-77.57999999999998,10.2,-77.37,10.17,-77.57999999999998,10.18,-77.37,5064,1024,1
42,42,M191116514RC,7.65,-77.89999999999998,7.66,-78.11000000000001,8.54,-77.86000000000001,8.54,-78.07,5064,52224,1
43,43,M191116514LC,7.65,-77.69,7.66,-77.91000000000003,8.53,-77.64999999999998,8.54,-77.87,5064,52224,1
44,44,M191109320RC,5.48,-77.73000000000002,5.49,-77.93,7.56,-77.67000000000002,7.56,-77.87,5064,52224,1
45,45,M191109320LC,5.48,-77.54000000000002,5.49,-77.74000000000001,7.55,-77.47000000000003,7.56,-77.67000000000002,5064,52224,1
46,46,M191102214RC,7.67,-77.82999999999998,7.67,-78.06,8.55,-77.82,8.56,-78.05000000000001,5064,52224,1
47,47,M191102214LC,7.66,-77.62,7.67,-77.83999999999997,8.55,-77.61000000000001,8.56,-77.82999999999998,5064,52224,1
48,48,M191095109RC,9.88,-75.41000000000003,9.89,-75.62,11.99,-75.35000000000002,12.0,-75.56,5064,52224,1
49,49,M191095054RC,7.13,-75.5,7.13,-75.69999999999999,7.58,-75.49000000000001,7.59,-75.69,5064,11264,1
50,50,M191095054LC,7.13,-75.31,7.13,-75.50999999999999,7.58,-75.29000000000002,7.59,-75.49000000000001,5064,11264,1
51,51,M191087895RC,6.67,-74.42000000000002,6.68,-74.62,8.78,-74.36000000000001,8.79,-74.56,5064,52224,1
52,52,M191087895LC,6.67,-74.23000000000002,6.68,-74.43,8.78,-74.16000000000003,8.79,-74.36000000000001,5064,52224,1
53,53,M191080757RC,7.25,-73.31,7.26,-73.50999999999999,9.36,-73.24000000000001,9.37,-73.44999999999999,5064,52224,1
54,54,M191080757LC,7.25,-73.11000000000001,7.26,-73.32,9.36,-73.04000000000002,9.37,-73.25,5064,52224,1
55,55,M191073479RC,0.75,-72.41000000000003,0.75,-72.60000000000002,2.09,-72.37,2.09,-72.56,5064,52224,1
56,56,M191073479LC,0.74,-72.23000000000002,0.75,-72.42000000000002,2.09,-72.19,2.09,-72.38,5064,52224,1
57,57,M191066527RC,10.66,-71.00999999999999,10.67,-71.22000000000003,11.6,-70.98000000000002,11.6,-71.19,5064,22528,1
58,58,M191066330RC,0.78,-71.31,0.79,-71.5,2.13,-71.26999999999998,2.13,-71.45999999999998,5064,52224,1
59,59,M191066330LC,0.78,-71.13,0.79,-71.32,2.12,-71.08999999999997,2.13,-71.27999999999997,5064,52224,1
60,60,M191059179RC,0.73,-70.20999999999998,0.74,-70.39999999999998,2.07,-70.17000000000002,2.08,-70.36000000000001,5064,52224,1
61,61,M191059179LC,0.73,-70.02999999999997,0.74,-70.22000000000003,2.07,-69.99000000000001,2.08,-70.18,5064,52224,1
62,62,M191052186RC,8.58,-68.87,8.59,-69.07999999999998,9.91,-68.82999999999998,9.92,-69.04000000000002,5064,52224,1
63,63,M191052186LC,8.58,-68.68,8.59,-68.88,9.91,-68.63,9.92,-68.83999999999997,5064,52224,1
64,64,M191052041RC,1.32,-69.08999999999997,1.32,-69.27999999999997,2.19,-69.07,2.19,-69.25999999999999,5064,33792,1
65,65,M191052041LC,1.32,-68.91000000000003,1.32,-69.10000000000002,2.19,-68.88999999999999,2.19,-69.07,5064,33792,1
66,66,M188743291RC,7.53,-76.36000000000001,7.53,-76.56,8.86,-76.32,8.87,-76.51999999999998,5064,52224,1
67,67,M188743291LC,7.53,-76.17000000000002,7.53,-76.37,8.86,-76.12,8.87,-76.32999999999998,5064,52224,1
68,68,M188721841RC,7.43,-73.07999999999998,7.44,-73.29000000000002,8.76,-73.04000000000002,8.77,-73.25,5064,52224,1
69,69,M188721841LC,7.43,-72.88999999999999,7.44,-73.08999999999997,8.76,-72.83999999999997,8.77,-73.05000000000001,5064,52224,1
70,70,M188714703RC,8.01,-71.97000000000003,8.02,-72.17000000000002,8.72,-71.94999999999999,8.72,-72.14999999999998,5064,27648,1
71,71,M188714703LC,8.01,-71.76999999999998,8.02,-71.98000000000002,8.72,-71.75,8.73,-71.94999999999999,5064,27648,1
72,72,M188707572RC,8.97,-70.83999999999997,8.98,-71.05000000000001,9.72,-70.82,9.73,-71.02999999999997,5064,29696,1
73,73,M188707572LC,8.97,-70.63999999999999,8.98,-70.85000000000002,9.72,-70.62,9.73,-70.82999999999998,5064,29696,1
74,74,M188700420RC,8.84,-69.75,8.84,-69.94999999999999,10.16,-69.70999999999998,10.17,-69.91000000000003,5064,52224,1
75,75,M188700420LC,8.83,-69.55000000000001,8.84,-69.75,10.16,-69.5,10.17,-69.70999999999998,5064,52224,1
76,76,M188693108RC,0.71,-68.88999999999999,0.72,-69.07,2.06,-68.85000000000002,2.06,-69.02999999999997,5064,52224,1
77,77,M188693108LC,0.71,-68.70999999999998,0.72,-68.88999999999999,2.06,-68.66000000000003,2.06,-68.85000000000002,5064,52224,1
78,78,M186391515RC,6.86,-77.30000000000001,6.85,-77.10000000000002,8.19,-77.25999999999999,8.18,-77.06,5064,52224,1
79,79,M186391515LC,6.86,-77.5,6.85,-77.30000000000001,8.19,-77.45999999999998,8.18,-77.25999999999999,5064,52224,1
80,80,M186384271RC,2.11,-76.35000000000002,2.1,-76.16000000000003,3.45,-76.31,3.44,-76.12,5064,52224,1
81,81,M186384271LC,2.11,-76.54000000000002,2.1,-76.35000000000002,3.45,-76.5,3.44,-76.31,5064,52224,1
82,82,M186377186RC,5.34,-75.17000000000002,5.33,-74.97000000000003,6.67,-75.13,6.67,-74.93,5064,52224,1
83,83,M186377186LC,5.34,-75.36000000000001,5.33,-75.16000000000003,6.68,-75.32,6.67,-75.12,5064,52224,1
84,84,M186370067RC,6.86,-74.02999999999997,6.85,-73.82999999999998,8.19,-73.99000000000001,8.18,-73.79000000000002,5064,52224,1
85,85,M186370067LC,6.86,-74.22000000000003,6.85,-74.01999999999998,8.19,-74.19,8.18,-73.98000000000002,5064,52224,1
86,86,M186362986RC,10.24,-72.82999999999998,10.23,-72.62,10.84,-72.82,10.83,-72.61000000000001,5064,23552,1
87,87,M186362986LC,10.24,-73.04000000000002,10.23,-72.82999999999998,10.84,-73.01999999999998,10.83,-72.81,5064,23552,1
88,88,M186355654RC,1.14,-72.0,1.14,-71.81,2.48,-71.95999999999998,2.48,-71.76999999999998,5064,52224,1
89,89,M186355654LC,1.14,-72.18,1.14,-71.99000000000001,2.48,-72.13999999999999,2.48,-71.94999999999999,5064,52224,1
90,90,M186348583RC,5.06,-70.79000000000002,5.05,-70.58999999999997,6.39,-70.75,6.38,-70.55000000000001,5064,52224,1
91,91,M186348583LC,5.06,-70.98000000000002,5.05,-70.77999999999997,6.39,-70.94,6.38,-70.74000000000001,5064,52224,1
92,92,M186341429RC,4.83,-69.69,4.83,-69.5,6.17,-69.66000000000003,6.16,-69.45999999999998,5064,52224,1
93,93,M186341429LC,4.83,-69.88,4.83,-69.69,6.17,-69.85000000000002,6.16,-69.64999999999998,5064,52224,1
94,94,M186334187LC,0.22,-68.89999999999998,0.21,-68.72000000000003,1.56,-68.87,1.55,-68.68,5064,52224,1
95,95,M185201355RC,1.99,-75.31,1.98,-75.49000000000001,1.96,-75.31,1.95,-75.49000000000001,5064,1024,1
96,96,M185201355LC,2.0,-75.13999999999999,1.99,-75.32,1.97,-75.13999999999999,1.96,-75.32,5064,1024,1
97,97,M185201342RC,2.68,-75.32999999999998,2.67,-75.50999999999999,2.65,-75.32999999999998,2.65,-75.50999999999999,5064,1024,1
98,98,M185201342LC,2.69,-75.14999999999998,2.68,-75.33999999999997,2.66,-75.14999999999998,2.66,-75.32999999999998,5064,1024,1
99,99,M185201309RC,4.02,-75.37,4.01,-75.55000000000001,3.7,-75.36000000000001,3.7,-75.54000000000002,5064,1024,1
100,100,M185201309LC,4.03,-75.19,4.02,-75.37,3.71,-75.18,3.71,-75.36000000000001,5064,1024,1
