,tmc,nac
0,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M193575982RC
1,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M193575982LC
2,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M193575866RC
3,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M193575866LC
4,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M193568785RC
5,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M191217212RC
6,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M191217212LC
7,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M184140513RC
8,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M184140513LC
9,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M184140469RC
10,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M184140469LC
11,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M181788715RC
12,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M181781589LC
13,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M179429840RC
14,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M179429840LC
15,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M178232069RC
16,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M178231939RC
17,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M178231939LC
18,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M175879861RC
19,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M175879861LC
20,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M175873176RC
21,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M173524656RC
22,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M173524656LC
23,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M171162468RC
24,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M171162468LC
25,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M171155655RC
26,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M168807686RC
27,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M168807686LC
28,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M168807610RC
29,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M168807610LC
30,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M166446092RC
31,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M166446092LC
32,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M164091380RC
33,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M164091380LC
34,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M164091262RC
35,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M164091262LC
36,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M164084512LC
37,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M160567662RC
38,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M160567662LC
39,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M160560878RC
40,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M158205795RC
41,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M158205795LC
42,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M153490347RC
43,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M153490347LC
44,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M151136061RC
45,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M151136061LC
46,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M151135946RC
47,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M148774788RC
48,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M148774788LC
49,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M147590316RC
50,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M147583517RC
51,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M147583384RC
52,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M147583384LC
53,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M145229795RC
54,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M145229795LC
55,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M142868694LC
56,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1420504875RC
57,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1420497788RC
58,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1420497788LC
59,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1420490656RC
60,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1418156366RC
61,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1418156366LC
62,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1418149192RC
63,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1418149192LC
64,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1413461043RC
65,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1413454013RC
66,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1411107889RC
67,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1411107889LC
68,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1411107838LC
69,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1409887993LC
70,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1407535695LC
71,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M140514388RC
72,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M140514388LC
73,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M140507668LC
74,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1402840996RC
75,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1402840996LC
76,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1400495230LC
77,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1394686973RC
78,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1394686973LC
79,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1394686937LC
80,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1392338062RC
81,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1392338062LC
82,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1392331002RC
83,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1387649037RC
84,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1387649037LC
85,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1387641844RC
86,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1387641844LC
87,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1385296755RC
88,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1385296755LC
89,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1385296676RC
90,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1385296676LC
91,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382952572RC
92,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382952572LC
93,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382945467RC
94,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382945467LC
95,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382945420RC
96,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1382945420LC
97,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M138153398RC
98,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M138153398LC
99,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1379379645LC
100,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1379372558RC
101,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1377030012RC
102,ch2_tmc_ndn_20220621T2104175845_d_oth_d32.zip,M1377030012LC
