,name,ul_la,ul_lo,ur_la,ur_lo,ll_la,ll_lo,lr_la,lr_lo
0,ch2_tmc_ndn_20210518T1656115474_d_oth_d18.zip,-78.490187,-51.091457,-76.917489,56.49283,-76.874334,-137.025277,-75.480837,131.360556
1,ch2_tmc_ndn_20191224T0436128888_d_oth_d18.zip,29.165668,-146.183037,29.165668,-145.553469,1.708896,-146.183037,1.708896,-145.553469
2,ch2_tmc_ndn_20200105T1902278938_d_oth_mad.zip,0.86723,46.673554,0.86723,47.660755,-26.105254,46.673554,-26.105254,47.660755
3,ch2_tmc_ndn_20220708T1711196157_d_oth_d32.zip,59.439271,45.192623,59.439271,46.694276,38.303316,45.192623,38.303316,46.694276
4,ch2_tmc_ndn_20220517T2258012964_d_oth_d18.zip,59.464436,8.430746,59.464436,10.010321,34.167741,8.430746,34.167741,10.010321
5,ch2_tmc_ndn_20211208T0946376123_d_oth_d32.zip,12.089347,143.839541,12.089347,145.127839,-59.937327,143.839541,-59.937327,145.127839
6,ch2_tmc_ndn_20211224T1749511513_d_oth_d18.zip,-35.573092,-72.940135,-35.573092,-71.250309,-59.871481,-72.940135,-59.871481,-71.250309
7,ch2_tmc_ndn_20220630T1008389740_d_oth_d32.zip,-0.176614,155.804742,-0.176614,156.769782,-26.792534,155.804742,-26.792534,156.769782
8,ch2_tmc_ndn_20211116T1329461965_d_oth_d18.zip,-80.308412,-5.042316,-61.583032,70.509235,-89.079431,-68.041185,-63.149912,89.278616
9,ch2_tmc_ndn_20211231T0132252884_d_oth_d18.zip,-2.650201,-154.247555,-2.650201,-152.945656,-59.922422,-154.247555,-59.922422,-152.945656
10,ch2_tmc_ndn_20220712T1754088924_d_oth_d32.zip,59.355054,-7.226335,59.355054,-5.466108,18.202328,-7.226335,18.202328,-5.466108
11,ch2_tmc_ndn_20220125T0135473485_d_oth_d18.zip,-66.031051,-93.197572,-88.242321,-140.50188,-60.951519,-125.094364,-73.025642,-176.250458
12,ch2_tmc_ndn_20220730T0627073220_d_oth_d32.zip,28.366598,121.553913,28.366598,122.673576,-27.729377,121.553913,-27.729377,122.673576
13,ch2_tmc_ndn_20210601T0716026044_d_oth_hw1.zip,-39.556606,-49.487342,-39.556606,-48.033175,-59.512679,-49.487342,-59.512679,-48.033175
14,ch2_tmc_ndn_20200714T0555291513_d_oth_d18.zip,-30.332909,-123.437588,-30.332909,-121.52663,-58.978166,-123.437588,-58.978166,-121.52663
15,ch2_tmc_ndn_20191230T0934252172_d_oth_d18.zip,28.629455,131.694628,28.629455,132.523946,1.646846,131.694628,1.646846,132.523946
16,ch2_tmc_ndn_20200607T1446398956_d_oth_d18.zip,59.841013,-1.433285,59.841013,-0.025413,31.018153,-1.433285,31.018153,-0.025413
17,ch2_tmc_ndn_20220518T2239379187_d_oth_d18.zip,29.26855,-4.840015,29.26855,-3.900623,14.067417,-4.840015,14.067417,-3.900623
18,ch2_tmc_ndn_20210517T1310144506_d_oth_d18.zip,-85.559105,147.817532,-71.257355,101.471398,-64.024362,174.861217,-58.608963,144.847128
19,ch2_tmc_ndn_20220107T1127582478_d_oth_d32.zip,27.215381,106.358316,27.215381,108.716195,-59.599841,106.358316,-59.599841,108.716195
